user_id,item_id,rating,cine,casa,escena,estilo,actuacion,espectador,film
Torbe,La guerra de los mundos,1,0,NULL,NULL,NULL,NULL,NULL,NULL
Torbe,Stars Wars III La venganza de los Sith,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Torbe,Los Increibles,5,NULL,1,NULL,NULL,NULL,NULL,NULL
Torbe,Spiderman 2,2,0,-1,NULL,NULL,NULL,NULL,NULL
Victor Trujillo,La casa de cera,2,1,-1,-1,NULL,NULL,NULL,NULL
Victor Trujillo,El internado,2,NULL,-1,-1,NULL,NULL,NULL,NULL
Victor Trujillo,La llave del mal,3,NULL,-1,1,NULL,NULL,NULL,NULL
Ivan Sainz-Pardo,May,4,NULL,1,-1,NULL,NULL,NULL,NULL
Ivan Sainz-Pardo,Cinderella Man,2,1,NULL,0,NULL,NULL,NULL,NULL
Ignacio Esteban,La Novia Cadaver,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Javier Moreno,Harry poter y el caliz de fuego,4,-1,1,1,NULL,NULL,NULL,NULL
Ivan Sainz-Pardo,Match point,5,NULL,NULL,NULL,0,NULL,NULL,NULL
Dover157,King Kong,5,1,NULL,-1,NULL,1,NULL,NULL
Verolindapechocha,El jardinero fiel,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Eugenio,Doom,3,NULL,NULL,1,NULL,NULL,NULL,NULL
Ed,Las cronicas de Narnia,3,NULL,NULL,1,NULL,NULL,NULL,NULL
Verolindapechocha,Una historia violenta,2,NULL,NULL,NULL,NULL,0,NULL,NULL
Victor Omar,Saw 2,3,NULL,-1,-1,NULL,NULL,-1,NULL
Jose Contreras,Crash,3,-1,NULL,NULL,NULL,NULL,NULL,NULL
Vsancha,Jarhead,5,NULL,0,1,-1,1,NULL,0
Doris,Memorias de una Geisha,3,0,NULL,NULL,NULL,NULL,NULL,NULL
Robgordon,Brokeback mountain,2,-1,NULL,NULL,NULL,NULL,0,0
Tito Chinchan,Alone in the dark,1,1,NULL,-1,NULL,NULL,NULL,NULL
Victor Omar,Munich,2,NULL,NULL,0,0,NULL,NULL,NULL
Red Stovall,Terror en la niebla,1,-1,NULL,NULL,NULL,NULL,1,1
Dragon negro,Underworld evolution,3,-1,NULL,NULL,NULL,NULL,NULL,-1
Iñigo,Lutero,2,-1,NULL,-1,NULL,NULL,1,1
Tito Chinchan,Camaron,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Iñigo,Oliver Twist,2,-1,NULL,1,NULL,NULL,NULL,0
Uruloki,En la cuerda floja,4,-1,1,NULL,NULL,NULL,NULL,0
Verolindapechocha,Dicen por ahi,3,-1,NULL,NULL,NULL,-1,NULL,NULL
Iñigo,Saraband,5,-1,NULL,-1,NULL,NULL,-1,-1
Ivan Sainz-Pardo,Munich,4,0,NULL,NULL,NULL,NULL,1,NULL
Caty,Buenas noches y buena suerte,4,NULL,NULL,NULL,NULL,0,NULL,NULL
Darthz,En la cuerda floja,4,1,-1,NULL,NULL,NULL,NULL,NULL
Verolindapechocha,Sophie Scholl,3,NULL,NULL,NULL,NULL,1,NULL,0
Tito Chinchan,Thai Dragon,2,-1,NULL,-1,NULL,NULL,NULL,NULL
Verolindapechocha,Munich,2,NULL,-1,NULL,NULL,0,NULL,-1
Tito Chinchan,The Jacket,2,NULL,0,NULL,NULL,NULL,NULL,NULL
Caty,Brokeback mountain,5,0,-1,-1,NULL,-1,0,NULL
Tito Chinchan,Buenas noches y buena suerte,5,NULL,NULL,NULL,NULL,0,NULL,NULL
Dino,Orgullo y prejuicio,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Vsancha,En la cuerda floja,1,NULL,NULL,NULL,NULL,1,NULL,NULL
Dino,Brokeback mountain,2,NULL,NULL,NULL,NULL,NULL,-1,-1
Tito Chinchan,Los tres entierros de Melquiades Estrada,3,1,NULL,NULL,NULL,1,NULL,NULL
Ivan Sainz-Pardo,Buenas noches y buena suerte,2,0,NULL,-1,-1,NULL,NULL,NULL
El mágico,Buenas noches y buena suerte,3,NULL,NULL,NULL,NULL,NULL,NULL,0
Caty,Una historia violenta,3,-1,NULL,0,NULL,-1,0,0
Caty,Cuatro hermanos,3,-1,NULL,0,NULL,-1,-1,NULL
Jose Contreras,Los tres entierros de Melquiades Estrada,3,NULL,NULL,0,NULL,NULL,-1,NULL
Tito Chinchan,Crash,4,NULL,NULL,-1,NULL,NULL,NULL,NULL
Guille,Brokeback mountain,3,NULL,NULL,NULL,NULL,NULL,1,NULL
Ivan Sainz-Pardo,Cache Escondido,4,0,-1,-1,-1,NULL,-1,NULL
Lara Croft,Virgen a los 40 años,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Daniel Galindo,Casanova,3,0,0,NULL,NULL,NULL,NULL,NULL
Victor Omar,The Descent,4,0,NULL,NULL,NULL,NULL,0,NULL
Caty,La tierra de los muertos vivientes,3,0,NULL,NULL,NULL,NULL,NULL,NULL
Tito Chinchan,Underworld evolution,2,1,NULL,NULL,NULL,NULL,NULL,NULL
Beatriz Perez,Transamerica,4,0,NULL,NULL,NULL,1,NULL,NULL
