user_id,item_id,rating,efectos,comedia,genero,film,personajes,protagonista,mundo,escenas,espectador,epoca
Torbe,La guerra de los mundos,1,-1.0,,,,,,,,,
Torbe,Stars Wars III La venganza de los Sith,3,,,,,,,-1.0,,,
Torbe,Los Increibles,5,-1.0,,,,,,,,,
Torbe,Spiderman 2,2,-1.0,,-1.0,,,,-1.0,,,
Victor Trujillo,La casa de cera,2,,,,,,,,,,-1.0
Victor Trujillo,El internado,2,1.0,,,,,,,-1.0,,
Victor Trujillo,La llave del mal,3,,,,,,,-1.0,,-1.0,
Ivan Sainz-Pardo,May,4,-1.0,,1.0,,,,,,0.0,
Ivan Sainz-Pardo,Cinderella Man,2,,,,,,,1.0,,,0.0
Ignacio Esteban,La Novia Cadaver,3,,1.0,,,,,,,,
Javier Moreno,Harry poter y el caliz de fuego,4,,,,,,,1.0,,,
Ivan Sainz-Pardo,Match point,5,0.0,,,,,,,,0.0,
Dover157,King Kong,5,1.0,,,,,,,,-1.0,
Verolindapechocha,El jardinero fiel,4,,,,,,,,,-1.0,
Eugenio,Doom,3,,,,,,,,,,0.0
Ed,Las cronicas de Narnia,3,1.0,,,,,,1.0,,,
Verolindapechocha,Una historia violenta,2,,,,,,,,,-1.0,-1.0
Victor Omar,Saw 2,3,,,,-1.0,,,,,1.0,
Jose Contreras,Crash,3,,,,1.0,,,,,1.0,
Vsancha,Jarhead,5,,,,,,,,,0.0,
Doris,Memorias de una Geisha,3,-1.0,,,,,,,,-1.0,
Robgordon,Brokeback mountain,2,,,,,,,,,-1.0,
Tito Chinchan,Alone in the dark,1,,,,,,,,,,-1.0
Victor Omar,Munich,2,,,,,,,,,-1.0,
Red Stovall,Terror en la niebla,1,-1.0,,,,-1.0,,,,1.0,
Dragon negro,Underworld evolution,3,0.0,,,0.0,,,,,,
Iñigo,Lutero,2,,,,-1.0,,,,,-1.0,
Tito Chinchan,Camaron,3,-1.0,,,,,,,,,
Iñigo,Oliver Twist,2,,,,,,,,,-1.0,
Uruloki,En la cuerda floja,4,,,1.0,,,,,,1.0,
Verolindapechocha,Dicen por ahi,3,,,,1.0,,,,1.0,,
Iñigo,Saraband,5,-1.0,,,,,,,,-1.0,
Ivan Sainz-Pardo,Munich,4,,,,,,,,,-1.0,
Caty,Buenas noches y buena suerte,4,-1.0,,,,,,,,-1.0,
Darthz,En la cuerda floja,4,,,1.0,,,,,,1.0,
Verolindapechocha,Sophie Scholl,3,,0.0,,,,,,,,
Tito Chinchan,Thai Dragon,2,,0.0,,,,,,,,
Verolindapechocha,Munich,2,,,,,,,,,-1.0,
Tito Chinchan,The Jacket,2,0.0,,0.0,,,,,,,
Caty,Brokeback mountain,5,,,,,,,,,-1.0,
Tito Chinchan,Buenas noches y buena suerte,5,-1.0,,,,,,,,-1.0,
Dino,Orgullo y prejuicio,4,,,,-1.0,,,,-1.0,-1.0,-1.0
Vsancha,En la cuerda floja,1,,,1.0,,,,,,1.0,
Dino,Brokeback mountain,2,,,,,,,,,-1.0,
Tito Chinchan,Los tres entierros de Melquiades Estrada,3,,,,-1.0,,,,1.0,,-1.0
Ivan Sainz-Pardo,Buenas noches y buena suerte,2,-1.0,,,,,,,,-1.0,
El mágico,Buenas noches y buena suerte,3,-1.0,,,,,,,,-1.0,
Caty,Una historia violenta,3,,,,,,,,,-1.0,-1.0
Caty,Cuatro hermanos,3,,-1.0,,-1.0,,,,,-1.0,
Jose Contreras,Los tres entierros de Melquiades Estrada,3,,,,-1.0,,,,1.0,,-1.0
Tito Chinchan,Crash,4,,,,1.0,,,,,1.0,
Guille,Brokeback mountain,3,,,,,,,,,-1.0,
Ivan Sainz-Pardo,Cache Escondido,4,,,,,,,,,-1.0,
Lara Croft,Virgen a los 40 años,1,,,,1.0,,,,,,
Daniel Galindo,Casanova,3,-1.0,,,,,,,,-1.0,
Victor Omar,The Descent,4,,,1.0,,,,,,1.0,
Caty,La tierra de los muertos vivientes,3,,-1.0,,,,,,,,
Tito Chinchan,Underworld evolution,2,0.0,,,0.0,,,,,,
Beatriz Perez,Transamerica,4,,,-1.0,,,,,,0.0,
Reinderdot,Truman Capote,4,,,,,,,,,-1.0,
Robgordon,Melissa P,2,-1.0,,,-1.0,,,,,,
Iñigo,Flores rotas,4,,,,,,-1.0,,,,
Iñigo,Crash,4,,,,1.0,,,,,1.0,
David,Truman Capote,4,,,,,,,,,-1.0,
Tito Chinchan,Sky high,3,0.0,,,,,,,,,1.0
Caro,Transamerica,5,,,-1.0,,,,,,0.0,
Iñigo,Cache Escondido,5,,,,,,,,,-1.0,
Jose Contreras,Truman Capote,3,,,,,,,,,-1.0,
Sonia Esteban,Fragiles,2,-1.0,-1.0,,,,,,,0.0,
Tito Chinchan,La pantera rosa,3,,,,,0.0,,,,,
Flopir,Munich,4,,,,,,,,,-1.0,
Jose Contreras,Sky high,3,0.0,,,,,,,,,1.0
Iñigo,Transamerica,2,,,-1.0,,,,,,0.0,
Marta,El castillo ambulante,4,0.0,,,0.0,,,0.0,,,
Tito Chinchan,El castillo ambulante,4,0.0,,,0.0,,,0.0,,,
Lara Croft,Syriana,4,-1.0,,,,,,,,-1.0,
Iñigo,Truman Capote,3,,,,,,,,,-1.0,
Taliesin,Crash,4,,,,1.0,,,,,1.0,
Jose Luis,Brokeback mountain,4,,,,,,,,,-1.0,
Tito Chinchan,Casanova,2,-1.0,,,,,,,,-1.0,
Iñigo,Paradise now,4,,,,,,,,,-1.0,
Tito Chinchan,Mrs Henderson presenta,4,0.0,,,,,,0.0,,,
Juan David,Zathura,3,1.0,,,,,,1.0,,0.0,
Jose Luis,Truman Capote,5,,,,,,,,,-1.0,
Iñigo,No matarás,5,,,,,,,,,-1.0,
Tito Chinchan,Lie with me,2,0.0,,,,,,,,0.0,
"Caty,""Dick y Jane, ladrones de sonrisas"",3,,,,1.0,,,1.0,,1.0,"
Javier,Cargo,1,,,,,,-1.0,,,,
Jose Contreras,Zathura,3,1.0,,,,,,1.0,,0.0,
El mágico,Firewall,2,,,,,,,,-1.0,,
Tito Chinchan,Zathura,2,1.0,,,,,,1.0,,0.0,
Daniel Galindo,Gisaku,3,0.0,,,,,,,,,
Daniel Galindo,Volver,4,,,,,,,,,1.0,
Marta,Paradise now,3,,,,,,,,,-1.0,
Tito Chinchan,Destino final 3,1,,,,,,,-1.0,,,-1.0
Tito Chinchan,Bloodrayne,2,-1.0,,,,,,,,,
Angeles Val,Zathura,4,1.0,,,,,,1.0,,0.0,
Tito Chinchan,Truman Capote,2,,,,,,,,,-1.0,
Yojimbo,Volver,4,,,,,,,,,1.0,
Jose Luis,Una vida iluminada,3,,,1.0,,,,,,1.0,
Flopir,Hostel,3,,,,-1.0,,,-1.0,,,
Ivan Sainz-Pardo,Volver,5,,,,,,,,,1.0,
Tito Chinchan,Conejo en la luna,3,-1.0,,,0.0,0.0,,,,,
JPastor,Firewall,2,,,,,,,,-1.0,,
Iñigo,Destino final 3,1,,,,,,,-1.0,,,-1.0
Jango Fett,Salvaje (The Wild),2,,,,,,-1.0,,,,
Jango Fett,Ice age 2 el deshielo,2,-1.0,,-1.0,,,,,,,
Iñigo,Manderlay,4,,,,,,,-1.0,,,
Jose Luis,Rosario Tijeras,5,,,,,,,,,1.0,1.0
Alvaro Oliva,Hostel,2,,,,-1.0,,,-1.0,,,
Alvaro Oliva,El caso Slevin,3,,,,1.0,,,1.0,,1.0,
Tito Chinchan,Ice age 2 el deshielo,4,-1.0,,-1.0,,,,,,,
Chuchi,V de Vendetta,4,,,-1.0,,,,-1.0,,-1.0,
Nico,V de Vendetta,1,,,-1.0,,,,-1.0,,-1.0,
Marta,V de Vendetta,4,,,-1.0,,,,-1.0,,-1.0,
Tito Chinchan,V de Vendetta,4,,,-1.0,,,,-1.0,,-1.0,
Pablo,Hostel,2,,,,-1.0,,,-1.0,,,
Iñigo,Hostel,2,,,,-1.0,,,-1.0,,,
Red Stovall,Plan oculto,3,,,,,,,-1.0,,-1.0,
Tito Chinchan,Hostel,2,,,,-1.0,,,-1.0,,,
Raccord,Azuloscurocasinegro,3,,,,1.0,,,,,,
Daniel Galindo,Tirante el blanco,2,-1.0,,,-1.0,,,,,,-1.0
Jorge,Cache Escondido,3,,,,,,,,,-1.0,
David,Tirante el blanco,2,-1.0,,,-1.0,,,,,,-1.0
Alvaro Oliva,Azuloscurocasinegro,5,,,,1.0,,,,,,
Alvaro Oliva,El hombre del tiempo,3,,,-1.0,-1.0,,-1.0,,,-1.0,
Victoruco,V de Vendetta,3,,,-1.0,,,,-1.0,,-1.0,
Alvaro Oliva,Destino final 3,1,,,,,,,-1.0,,,-1.0
Ivan Sainz-Pardo,Azuloscurocasinegro,4,,,,1.0,,,,,,
Pablo,Plan oculto,3,,,,,,,-1.0,,-1.0,
Jose Contreras,16 calles,3,,,,,,,,,0.0,
Freddy vs Jason,The Libertine,2,,,,,,,,,1.0,
Ivan Sainz-Pardo,V de Vendetta,1,,,-1.0,,,,-1.0,,-1.0,
Andrés,Stoned,2,,,,,,,,,,-1.0
Alejandro Salmerón,Mi noche con Maud,4,,,,,,,,1.0,0.0,
Ivan Sainz-Pardo,Crash,4,,,,1.0,,,,,1.0,
Verolindapechocha,Hostel,3,,,,-1.0,,,-1.0,,,
Verolindapechocha,Date movie,1,-1.0,,,,,,,,,
Silvia,Volver,4,,,,,,,,,1.0,
Rafa Ferrer,Novia por contrato,3,0.0,,,,,,,,1.0,
Tito Chinchan,Scary movie 4,3,1.0,,,,,,,,-1.0,
Jamfris,Ice age 2 el deshielo,3,-1.0,,-1.0,,,,,,,
Silvia,En tierra de hombres,3,,,0.0,,,,,,-1.0,
Jeremy Fox,El caso Slevin,3,,,,1.0,,,1.0,,1.0,
Silvia,La verdad oculta,2,,,,,,-1.0,,,-1.0,
Cp,El caso Slevin,3,,,,1.0,,,1.0,,1.0,
Rafa Marin,Plan oculto,4,,,,,,,-1.0,,-1.0,
Silvia,Tapas,4,,,,-1.0,,,,,-1.0,
Jose Contreras,Déjate llevar,2,,,,,0.0,,,,,
Jose Contreras,Misión imposible 3,4,,,-1.0,1.0,,,,,,
Cp,Misión imposible 3,4,,,-1.0,1.0,,,,,,
Verolindapechocha,Misión imposible 3,2,,,-1.0,1.0,,,,,,
Hombre Lobo,Psicosis,5,,,,-1.0,,,,,-1.0,
Robgordon,Psicosis,5,,,,-1.0,,,,,-1.0,
Vsancha,Psicosis,5,,,,-1.0,,,,,-1.0,
Victor Trujillo,Psicosis,5,,,,-1.0,,,,,-1.0,
Tito Chinchan,Matador,2,,,,-1.0,,,,,,
Jesus Lens,V de Vendetta,5,,,-1.0,,,,-1.0,,-1.0,
Jesus Lens,Plan oculto,4,,,,,,,-1.0,,-1.0,
Alvaro Oliva,La Plaga (Slither),3,1.0,,,,,,,,,
Enrique Colmena,Misión imposible 3,2,,,-1.0,1.0,,,,,,
Pablo,El caso Slevin,3,,,,1.0,,,1.0,,1.0,
Pablo,Misión imposible 3,4,,,-1.0,1.0,,,,,,
Pablo,Psicosis,5,,,,-1.0,,,,,-1.0,
Sr. Ruso,V de Vendetta,3,,,-1.0,,,,-1.0,,-1.0,
Tito Chinchan,Xmen3,3,-1.0,,,,,,-1.0,,-1.0,
Marta,Hard candy,3,,,,,,,,,-1.0,
Jose Luis,Misión imposible 3,2,,,-1.0,1.0,,,,,,
JPastor,Xmen3,3,-1.0,,,,,,-1.0,,-1.0,
Pablo,Extraños en un tren,5,,,,,,1.0,,,,
Leuzor,El código Da Vinci,2,-1.0,,,,,,,,-1.0,-1.0
Jose Contreras,El código Da Vinci,2,-1.0,,,,,,,,-1.0,-1.0
Victor Omar,El código Da Vinci,2,-1.0,,,,,,,,-1.0,-1.0
Javier Moreno,Hard candy,5,,,,,,,,,-1.0,
Dover157,El código Da Vinci,3,-1.0,,,,,,,,-1.0,-1.0
Juan David,Matador,4,,,,-1.0,,,,,,
Kahzrrak,El código Da Vinci,3,-1.0,,,,,,,,-1.0,-1.0
Raccord,Encadenados,5,,,,1.0,,,,,1.0,
Andrés,Flores rotas,4,,,,,,-1.0,,,,
Andrés,Plan oculto,3,,,,,,,-1.0,,-1.0,
Jeremy Fox,Xmen3,2,-1.0,,,,,,-1.0,,-1.0,
Jeremy Fox,La soga,5,,,,,,0.0,,,1.0,
"Daniel Galindo,""Un franco, 14 pesetas"",4,1.0,,,1.0,,,,,1.0,"
Daniel Galindo,El color del crimen,2,,,,,,0.0,,,0.0,
Daniel Galindo,Remake,3,,,,,,-1.0,,,-1.0,
Nisuyaves,Volver,4,,,,,,,,,1.0,
Nisuyaves,El código Da Vinci,4,-1.0,,,,,,,,-1.0,-1.0
Cp,Carretera al infierno,4,,,,-1.0,,,,,-1.0,
Raccord,Con la muerte en los talones,5,,,,,,-1.0,,,,
MrDaine,El código Da Vinci,2,-1.0,,,,,,,,-1.0,-1.0
Jose Luis,El código Da Vinci,2,-1.0,,,,,,,,-1.0,-1.0
Daniel Galindo,Camino a Guantánamo,4,,,,-1.0,,,,,,
Cp,Xmen3,1,-1.0,,,,,,-1.0,,-1.0,
Pablo,El código Da Vinci,2,-1.0,,,,,,,,-1.0,-1.0
Raccord,Xmen3,3,-1.0,,,,,,-1.0,,-1.0,
Jesus Lens,Camino a Guantánamo,4,,,,-1.0,,,,,,
Tito Chinchan,Cuando un extraño llama,3,,,-1.0,-1.0,,,,,-1.0,
Alvaro Oliva,Xmen3,3,-1.0,,,,,,-1.0,,-1.0,
Jose Contreras,Xmen3,3,-1.0,,,,,,-1.0,,-1.0,
Jesus Lens,Volver,5,,,,,,,,,1.0,
Jesus Lens,Himalaya,3,,,,,,,,,,0.0
Daniel Galindo,Cuando un extraño llama,2,,,-1.0,-1.0,,,,,-1.0,
Daniel Galindo,Thumbsucker,3,,1.0,,,,,,,,
Raccord,Misión imposible 3,3,,,-1.0,1.0,,,,,,
Pablo,Hard candy,4,,,,,,,,,-1.0,
"Silvia,""Mios, tuyos y nuestros"",2,,,-1.0,-1.0,,,,,-1.0,"
Alvaro Oliva,La profecía,3,,,,,,,,,-1.0,
Raccord,Factotum,3,,,,1.0,,,,,,
Monich,La profecía,1,,,,,,,,,-1.0,
Darko,American Dreamz,4,,,-1.0,,,,,,-1.0,
Tito Chinchan,El código Da Vinci,2,-1.0,,,,,,,,-1.0,-1.0
Noa,Los amantes del círculo polar,5,,,,,,,,,-1.0,
Rafa Ferrer,Vecinos invasores,4,1.0,,1.0,,,,1.0,,,
Tito Chinchan,Declaradme culpable,3,,,,,,1.0,,,,
Tito Chinchan,El asesinato de Richard Nixon,1,,,-1.0,,,,,,-1.0,
Caty,Ultravioleta,1,,,,,,,,,,-1.0
Raccord,Marnie la ladrona,3,-1.0,,,-1.0,,,,,,
Jose Contreras,Scary movie 4,3,1.0,,,,,,,,-1.0,
Ivan Sainz-Pardo,El señor de la guerra,4,,-1.0,,,,,,,-1.0,
Alvaro Oliva,Vecinos invasores,3,1.0,,1.0,,,,1.0,,,
Tito Chinchan,Vecinos invasores,4,1.0,,1.0,,,,1.0,,,
Jose Contreras,La sombra de una duda,2,,,,,,-1.0,,,,
JohnTrent,Cuando un extraño llama,2,,,-1.0,-1.0,,,,,-1.0,
Oscar Cantero,Asterix y los vikingos,3,1.0,,,,,,,,,0.0
Oscar Cantero,Scary movie 4,1,1.0,,,,,,,,-1.0,
Silvia,La ardilla roja,4,,,,,0.0,,,,0.0,
Ibán Manzano,La tumba de las luciérnagas,4,,,,,,,-1.0,-1.0,,
Cp,El señor de la guerra,4,,-1.0,,,,,,,-1.0,
Tito Chinchan,Superman returns,2,-1.0,,,,,,,,,
Jose Contreras,Las colinas tienen ojos,3,,,-1.0,,,,,,,
Robgordon,La casa del lago,2,,,,,,,,,-1.0,
JohnTrent,Las colinas tienen ojos,4,,,-1.0,,,,,,,
Noa,Las colinas tienen ojos,3,,,-1.0,,,,,,,
Doris,Cars,4,-1.0,,,-1.0,,,,,,
Hombre Lobo,Las colinas tienen ojos,4,,,-1.0,,,,,,,
Carlos Pumares,Superman returns,1,-1.0,,,,,,,,,
Oscar Cantero,Delitos menores,2,,,,,,,,,-1.0,-1.0
Jeremy Fox,Cars,4,-1.0,,,-1.0,,,,,,
Rafa Ferrer,Cars,4,-1.0,,,-1.0,,,,,,
Ibán Manzano,Las colinas tienen ojos,3,,,-1.0,,,,,,,
Bloody Will,Las colinas tienen ojos,4,,,-1.0,,,,,,,
Alvaro Oliva,Las colinas tienen ojos,3,,,-1.0,,,,,,,
Alvaro Oliva,Scary movie 4,2,1.0,,,,,,,,-1.0,
Tito Chinchan,Las colinas tienen ojos,3,,,-1.0,,,,,,,
Rafa Ferrer,El tigre y la nieve,2,1.0,,,,,,,,1.0,
Tito Chinchan,Asterix y los vikingos,2,1.0,,,,,,,,,0.0
Jose Contreras,Cars,5,-1.0,,,-1.0,,,,,,
