user_id,item_id,rating,EXPERIENCE,EXPERIENCE_APPONTMENT,EXPERIENCE_COMPANY,EXPERIENCE_CONVERSATION,EXPERIENCE_FEELINGS,EXPERIENCE_OCCASION,EXPERIENCE_RECOMMENDATIONS,EXPERIENCE_TIME,EXPERIENCE_WAIT,FOOD,FOOD_DRINK,FOOD_FOOD,GENERAL,PERSONAL,PROCEDURE_BEAUTY_BARBER,PROCEDURE_BEAUTY_FACE,PROCEDURE_BEAUTY_HAIR,PROCEDURE_BEAUTY_NAILS,PROCEDURE_BEAUTY_NAILS_MANI,PROCEDURE_BEAUTY_NAILS_PEDI,PROCEDURE_BEAUTY_WAX,PROCEDURE_RELAX_MASSAGE,PROCEDURE_RELAX_SPA,PROCEDURE_RELAX_TRAIN,SALON,SALON_ADDITIONAL,SALON_ATMOSPHERE,SALON_EQUIPMENT,SALON_INTERIOR,SALON_INTERIOR_BATH,SALON_INTERIOR_DESIGN,SALON_INTERIOR_ROOM,SALON_LOCATION,SALON_PARKING,SALON_PRICE,SALON_PRICE_BONUS,SALON_TYPE,STAFF,STAFF_DOCTOR,STAFF_INSTRUCTOR,STAFF_MASTER,STAFF_OWNER,STAFF_SERVICE
--VxRvXk3b8FwsSbC2Zpxw,OtDcALEX6-LfEOQE0QgHYw,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,NULL,1,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
OHpIvtYgVhggDJZsWmC_dw,OtDcALEX6-LfEOQE0QgHYw,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,0,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,1,NULL,-1,NULL,1,1,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EQFM-n8T4mo67GxwLDbhPA,OtDcALEX6-LfEOQE0QgHYw,5,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
lNy8SwuAyq4O2oosW-uGUQ,OtDcALEX6-LfEOQE0QgHYw,3,1,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
k6ZQA3DJ2EfZJMmadBlWNw,YCqnzEOEwo2_mlDOy7Sahw,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL
KMCAR_uE71dneFc63vw7Xg,YCqnzEOEwo2_mlDOy7Sahw,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
bZFRqP7s0Vszxeu8_IwYow,LDtE3rhFnl4ud1ogxS6rGA,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
pDSMS-IW5wyZK0XBi4jnDw,LDtE3rhFnl4ud1ogxS6rGA,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
_uL7OiQSfNsCd60DrAf7qQ,LDtE3rhFnl4ud1ogxS6rGA,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1
KJo0cru2sBJyufnGkdHgHA,LDtE3rhFnl4ud1ogxS6rGA,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
C8ZTiwa7qWoPSMIivTeSfw,HfWkdqxegjiGEXzI8j7Wwg,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
uBp2Jmip2qXQ0iWHUDY9sQ,HfWkdqxegjiGEXzI8j7Wwg,5,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
7GC9fVWKa4a1ZmBGLH6Uww,HfWkdqxegjiGEXzI8j7Wwg,3,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,-1,NULL,0,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
UoBfwbXaixelZBghbJ2cSg,HfWkdqxegjiGEXzI8j7Wwg,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AYGHNy8gPxl2Q-etTT3hZw,HfWkdqxegjiGEXzI8j7Wwg,4,1,0,NULL,NULL,NULL,NULL,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
K46kUag6aS0Vd4JjiaqNsQ,HfWkdqxegjiGEXzI8j7Wwg,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
