user_id,item_id,rating,DRINKS,DRINKS_ALCOHOL,DRINKS_ALCOHOL_BEER,DRINKS_ALCOHOL_HARD,DRINKS_ALCOHOL_LIGHT,DRINKS_ALCOHOL_WINE,DRINKS_NON-ALCOHOL_COLD,DRINKS_NON-ALCOHOL_HOT,EXPERIENCE,EXPERIENCE_BONUS,EXPERIENCE_COMPANY,EXPERIENCE_OCCASION,EXPERIENCE_RECOMMENDATIONS,EXPERIENCE_RESERVATION,EXPERIENCE_TAKEOUT,EXPERIENCE_TIME,FOOD_FOOD,FOOD_FOOD_BREAD,FOOD_FOOD_CHEESE,FOOD_FOOD_CHICKEN,FOOD_FOOD_DESSERT,FOOD_FOOD_DISH,FOOD_FOOD_EGGS,FOOD_FOOD_FRUIT,FOOD_FOOD_MEAT,FOOD_FOOD_MEAT_BACON,FOOD_FOOD_MEAT_BEEF,FOOD_FOOD_MEAT_BURGER,FOOD_FOOD_MEAT_LAMB,FOOD_FOOD_MEAT_PORK,FOOD_FOOD_MEAT_RIB,FOOD_FOOD_MEAT_STEAK,FOOD_FOOD_MEAT_VEAL,FOOD_FOOD_SALAD,FOOD_FOOD_SAUCE,FOOD_FOOD_SEAFOOD,FOOD_FOOD_SEAFOOD_FISH,FOOD_FOOD_SEAFOOD_SEA,FOOD_FOOD_SIDE,FOOD_FOOD_SIDE_PASTA,FOOD_FOOD_SIDE_POTATO,FOOD_FOOD_SIDE_RICE,FOOD_FOOD_SIDE_VEGETABLES,FOOD_FOOD_SOUP,FOOD_FOOD_SUSHI,FOOD_MEALTYPE_BREAKFAST,FOOD_MEALTYPE_BRUNCH,FOOD_MEALTYPE_DINNER,FOOD_MEALTYPE_LUNCH,FOOD_MEALTYPE_MAIN,FOOD_MEALTYPE_START,FOOD_PORTION,FOOD_SELECTION,GENERAL,PERSONAL,RESTAURANT,RESTAURANT_ATMOSPHERE,RESTAURANT_CUSINE,RESTAURANT_ENTERTAINMENT_MUSIC,RESTAURANT_ENTERTAINMENT_SPORT,RESTAURANT_INTERIOR,RESTAURANT_INTERNET,RESTAURANT_LOCATION,RESTAURANT_MONEY,RESTAURANT_PARKING,SERVICE
t95D1tnWvAOy2sxXnI3GUA,x5Mv61CnZLohZWxfCVCPTQ,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,NULL,NULL,0,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9ellV9VrEOPA3vX2pZptSA,x5Mv61CnZLohZWxfCVCPTQ,5,NULL,NULL,NULL,1,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,NULL,0
NkxFV7RefN87jL_LeVlIPg,x5Mv61CnZLohZWxfCVCPTQ,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
wAm7i46tiGxSlxwTp4shjw,2ZnCITVa0abGce4gZ6RhIw,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,0,1,NULL,NULL
PNS9z4aFDbfhpIsHCfNvNg,2ZnCITVa0abGce4gZ6RhIw,3,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1,NULL,NULL
M6oU3OBf_E6gqlfkLGlStQ,2ZnCITVa0abGce4gZ6RhIw,2,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,-1,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL
OIIz0WoudqkFxwqlsRdZBQ,2ZnCITVa0abGce4gZ6RhIw,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
FLdun6KWwAh-gC8VHVZGCw,KPoTixdjoJxSqRSEApSAGg,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,1,NULL,NULL,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
p4VkQXcLH2FldlgdxqFp9Q,KPoTixdjoJxSqRSEApSAGg,4,1,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
x7pA1NPK9UOGskaZNuSwfg,KPoTixdjoJxSqRSEApSAGg,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,1,NULL,NULL,0,NULL,NULL,NULL,NULL,1,NULL,NULL,0,NULL,0
MrPOzC4Fz_xEwJkA051V8g,KPoTixdjoJxSqRSEApSAGg,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,0
eBFm-lABQiKpaUcPDfYOgA,KPoTixdjoJxSqRSEApSAGg,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
jGYO8hQ-szCcp-jh1t5eZA,KPoTixdjoJxSqRSEApSAGg,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
zp-DF3qfvOn5ko_vjpQLOg,KPoTixdjoJxSqRSEApSAGg,5,1,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,-1,NULL,NULL,NULL,NULL,-1,1,NULL,NULL,NULL,1,1,1,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,1,NULL,NULL,NULL,NULL,1,0,NULL,NULL,NULL,1,1,1,1,NULL,1,NULL,NULL,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
d6k6oKxaGvvtSwT5h_loSg,KPoTixdjoJxSqRSEApSAGg,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
